1,Wine - Semi Dry Riesling Vineland,Remov ren dialysis shunt,68.69
2,Danishes - Mini Cheese,Medical induction labor,96.36
3,Chinese Foods - Thick Noodles,Percut prostatic aspirat,48.31
4,"Mop Head - Cotton, 24 Oz",Breast dx procedure NEC,1.54
5,Wine - Riesling Dr. Pauly,Dacryocystorhinostomy,5.61
6,Cheese - Camembert,Incisional hernia repair,9.2
7,Salt And Pepper Mix - Black,Remov thoracotomy tube,91.98
8,Pepper - Red Bell,Particulate radiosurgery,96.59
9,Turkey Tenderloin Frozen,Cell blk/pap-lower GI,66.8
10,"Wine - White, Cooking",Closure cholecystostomy,70.37
11,Anchovy Paste - 56 G Tube,Anal anastomosis,13.0
12,Creme De Menth - White,Incis thyroid field NEC,26.79
13,Bread - Assorted Rolls,Electromyography,19.67
14,Bouillion - Fish,Revision of tracheostomy,53.27
15,Milk - Buttermilk,Mult seg sm bowel excis,23.15
16,Asparagus - Frozen,Lacrim passage incis NEC,79.79
17,Rabbit - Legs,Facial bone dx proc NEC,99.3
18,Squash - Sunburst,Internal fix-patella,34.97
19,Yams,Lap bi dr/ind ing hrn-gr,10.05
20,Nantucket - Orange Mango Cktl,Cnt intraart bld gas mon,73.36
21,Crab - Soft Shell,"Omt with hi-vel,lo-ampli",95.74
22,"Appetizer - Mini Egg Roll, Shrimp",Repair of rectum NEC,37.93
23,Bread - Petit Baguette,Excis cyst duct remnant,66.1
24,Duck - Breast,Periph nerve inject NOS,24.82
25,"Butter - Salted, Micro",Micro exam-bili/panc NEC,77.77
26,"Clams - Littleneck, Whole",Visual evoked potential,7.25
27,Table Cloth 62x114 White,Total wrist replacement,16.36
28,"Nut - Almond, Blanched, Sliced",Int/comb version no extr,20.67
29,"Lemonade - Black Cherry, 591 Ml",Correction prominent ear,4.43
30,Chinese Foods - Thick Noodles,Lacrimal sys dx proc NEC,74.8831,2,2,2
